Area,Year,Crops,Livestock Meat,Production Value Crops,Production Value Livestock,Emissions Livestock,Emissions Crops,Fertilizers,Pesticides,Trade Import Crops,Trade Export Crops,Trade Import Livestock,Trade Export Livestock
China,1961,15.429800556928793,2.024231738450002,2.5624009235351375,12.570907251535548,6.164433241712991,19.19482762297028,2.388758110580272,,5.2354623560963605,1.7932602650922502,1.2784817351927265,0.6939981182580028
China,1962,15.71880303661439,2.064965514496452,2.795185101711211,12.750458034758966,5.958853148164671,19.013760246845226,2.9871132445238646,,4.614330459546475,2.4609670726215196,1.2149339939427164,0.732911703146932
China,1963,15.496044936627824,2.1235868908323288,3.6369609118893473,12.866036139819235,6.152219636211479,19.460080366059206,3.397941544996335,,4.881883587035373,2.854562864074131,1.3087291096213767,1.230847218105017
China,1964,15.268576926943025,2.215942841938191,4.2964775773123876,13.198356080443482,6.539070848386305,20.156482864656383,4.098547760130207,,4.8746456719971345,3.117919432652482,1.2727984566207928,1.7019490677287097
China,1965,16.77485163297199,2.2990038908409693,4.62471620179072,14.1110914882441,6.7441954317340835,20.42913642792152,5.6601834525449695,,4.355804054065779,3.621224700128556,1.238512026221501,2.7319291119176725
China,1966,17.223936167711035,2.3242815690441034,4.792608085990849,14.679153784206186,6.991664457427206,20.78416738107731,7.256134282071752,,4.00080975593956,4.449453063413402,1.2997717187394053,2.758183344504879
China,1967,16.788291804836465,2.307468922064956,4.839621256648529,14.308753941463603,7.15589764884635,19.719989615437026,4.890944096926072,,3.8057404509551507,4.857958255892111,1.3498815130060888,2.139078519290517
China,1968,16.162453885127828,2.282808286465197,4.707211951942631,13.78283723270665,7.229525695092401,19.027504974889794,4.593307748245709,,3.83807707065736,4.945812425761811,1.4863007098518561,2.1331070479689442
China,1969,16.59345955491777,2.298006104982724,4.616162768206694,13.893829092054775,7.25045636883553,19.206232261643574,5.577970286438086,,3.4313646951909913,4.461797594735488,1.473717542849757,1.9992235178132867
China,1970,17.340077029155708,2.2727364501932783,4.552597856510974,14.282580194532452,7.1488672818493235,20.059738178272426,6.473546491976784,,3.840362868724688,3.640763850280139,1.5068640850808501,1.8235934536770388
China,1971,17.037190204520858,2.413562611074221,4.980152206433847,14.35356220080839,7.280570184808457,20.640101152650136,6.3383555612317215,,3.050262654197234,3.395666295072038,1.4721032386946138,2.1973781346454277
China,1972,16.905054590136288,2.5265168371612003,5.293504420728704,14.205375480818644,7.399261891805287,20.93480156133097,6.783502999552761,,3.8831906194446875,3.188282691199767,1.3603362104608754,2.614430902014636
China,1973,17.827566057441697,2.626089316887869,5.384479060607799,14.713663409687467,7.371747159534822,20.452823814138082,7.660595689956132,,4.447678989994711,3.1854021651456588,1.3757965923384199,2.417232156665296
China,1974,18.085677060791383,2.602733708026819,5.186087535879426,14.975940996110399,7.3194763897949615,20.34213403656179,6.9129798701197425,,4.763205706579599,3.181616514507704,1.7288732963547493,1.7215050895716622
China,1975,18.284745010765,2.6167554898159526,5.224965357784201,14.947714231081191,7.246269041598853,20.13130017499422,7.60083295437885,,3.4427383090894907,2.9770323211086267,1.872692021946959,1.7919605636872984
China,1976,17.346702407824548,2.581141708553082,5.135819731122203,14.482675995850213,7.246019807604591,19.994755714483503,6.819070629288798,,2.992889789036258,2.619587661218343,1.8227903522691578,1.821947293466837
China,1977,17.60118456079854,2.711668623083318,5.133446574205534,14.420222573533653,7.073480634924945,20.521164387456682,9.201832765945918,,4.674698913805897,2.0627640979289077,1.8438525919279678,1.449288645889847
China,1978,18.13189070362792,2.7693904149072064,5.387933034336821,15.04277998497115,7.0195511662025245,20.776074211400562,10.119637577399947,,4.718189262793412,2.361854480387708,1.8249578493292056,1.7750573408136887
China,1979,18.51861562783626,2.9385555927877864,6.172719814568714,15.319841423607642,7.08476761996088,21.248679453377893,11.778765895465645,,5.290720234658284,2.3140695328132637,1.6803980034779287,1.7323782838265325
China,1980,18.36062618761372,3.1013888222112733,6.671937361569315,15.313579577900798,7.204159841444632,21.386750473204184,13.294211723952113,,5.560919023214649,2.3434499294836564,1.7496093360113418,1.8638745873354037
China,1981,17.72415716122982,3.1438886833189295,6.854253240697271,15.429176070392367,7.139549712798727,20.802428568210495,13.336848164571558,,5.651545226896366,2.359304306668504,1.9047587139778162,1.9155301030039273
China,1982,18.42799204279717,3.266390348969126,7.198986685778559,16.22433926328072,7.128515124466526,21.298516587180536,14.4267376464564,,6.143709543905914,2.5203277952099246,2.232431145396274,2.0378227669845943
China,1983,20.55177318094846,3.357956073285752,7.2902677729958105,17.801666929212704,7.2836153719570325,21.65193540939479,15.00753421178253,,5.441875167483463,2.6776229195192967,2.331562669874234,2.177825618945102
China,1984,20.050107417298733,3.4287060247210386,8.165769671263861,18.024478052545216,7.256201676030376,21.761530450445957,15.4832659114937,,4.223089502855924,2.7852029292367257,2.580571821880589,2.5735112447953163
China,1985,18.855871618497147,3.4908837950571416,8.721349631972384,17.104524582204878,7.439617271244884,20.670686537003245,13.508103916415145,,3.6328550965636683,3.7293204575275976,2.545384174043071,2.873267221397736
China,1986,19.328304543892376,3.8325793148765506,8.965015866635504,17.250682130972137,7.718631474947088,20.470393441829707,13.13936418256289,,4.147222056975993,4.613134474416136,2.336845453836157,3.119529897717664
China,1987,20.496463547925856,4.410588793532386,9.609425710762787,18.01696314993059,8.096750946471424,22.029539012871872,16.45075278088422,,5.034905260753853,4.261744486447124,2.204299107976288,3.5050256616550493
China,1988,20.570873960734566,5.108592335014722,10.39195312262183,18.068980910213053,8.225913424975735,22.18130003746642,17.631465709967483,,5.1416300865564635,4.2519057705630185,2.406233316135621,3.1636744394536147
